Category,Variable,Fire,Months_Before_Fire,Mean_Value
DFMC,Foliage,EATON,-16,1.5150196262000002
DFMC,Foliage,EATON,-17,1.9929560176
DFMC,Foliage,EATON,-18,1.8967114817666664
DFMC,Foliage,EATON,-19,1.1937007913666666
DFMC,Foliage,EATON,-20,0.4546319684333333
DFMC,Foliage,EATON,-21,0.5240309014000001
DFMC,Foliage,EATON,-22,1.0535055703666667
DFMC,Foliage,EATON,-23,1.3124896253999998
DFMC,Foliage,EATON,-24,1.1404101304
DFMC,Foliage,EATON,-25,0.8100926932
DFMC,Foliage,EATON,-26,0.9218264773666668
DFMC,Foliage,EATON,-27,0.6702342939666668
DFMC,Foliage,EATON,-28,0.9202197466333332
DFMC,Foliage,EATON,-29,0.2335226074666666
DFMC,Foliage,EATON,-30,0.1645064678666666
SPEI3,SPEI3,PALISADES,0,-1.459
SPEI3,SPEI3,PALISADES,-1,-1.346
SPEI3,SPEI3,PALISADES,-2,-1.257
SPEI3,SPEI3,PALISADES,-3,-1.2423333333333335
SPEI3,SPEI3,PALISADES,-4,-1.286
SPEI3,SPEI3,PALISADES,-5,-1.0546666666666666
SPEI3,SPEI3,PALISADES,-6,-0.409
SPEI3,SPEI3,PALISADES,-7,0.304
SPEI3,SPEI3,PALISADES,-8,0.935
SPEI3,SPEI3,PALISADES,-9,1.146
SPEI3,SPEI3,PALISADES,-10,1.4913333333333334
SPEI3,SPEI3,PALISADES,-11,0.9753333333333334
SPEI3,SPEI3,PALISADES,-12,0.543
SPEI3,SPEI3,PALISADES,-13,-0.0339999999999999
SPEI3,SPEI3,PALISADES,-14,0.711
SPEI3,SPEI3,PALISADES,-15,2.166
SPEI3,SPEI3,PALISADES,-16,3.332666666666667
SPEI3,SPEI3,PALISADES,-17,3.0686666666666667
SPEI3,SPEI3,PALISADES,-18,2.0013333333333336
SPEI3,SPEI3,PALISADES,-19,1.3610000000000004
SPEI3,SPEI3,PALISADES,-20,1.2946666666666669
SPEI3,SPEI3,PALISADES,-21,1.5270000000000004
