Variable,Region,Lag (months),Mean_Value
LAI_LAI,MED,-15,0.2770453041916667
LAI_LAI,MED,-16,0.4156421523875
LAI_LAI,MED,-17,0.2346056591208333
LAI_LAI,MED,-18,-0.1101427378083333
LAI_LAI,MED,-19,-0.3129486639833333
LAI_LAI,MED,-20,-0.3967834845166667
LAI_LAI,MED,-21,-0.2475382219416667
LAI_LAI,MED,-22,-0.3699984754958333
LAI_LAI,MED,-23,-0.3517851046625
LAI_LAI,MED,-24,-0.4141580668749999
LAI_LAI,MED,-25,-0.4094911916041667
LAI_LAI,MED,-26,-0.3494480960541666
LAI_LAI,MED,-27,-0.2488051159291665
LAI_LAI,MED,-28,-0.1423251130541666
LAI_LAI,MED,-29,-0.2849356997375
LAI_LAI,MED,-30,-0.3522132708208333
EVI_EVI,ALL,0,-0.6439547260277778
EVI_EVI,ALL,-1,-0.4315264313444444
EVI_EVI,ALL,-2,-0.2458357821796296
EVI_EVI,ALL,-3,0.0560489873814815
EVI_EVI,ALL,-4,0.2525385201277778
EVI_EVI,ALL,-5,0.3715493701888889
EVI_EVI,ALL,-6,0.503573507525926
EVI_EVI,ALL,-7,0.6585561748851851
EVI_EVI,ALL,-8,0.6683355231777778
EVI_EVI,ALL,-9,0.5067780923703703
EVI_EVI,ALL,-10,0.3574889432796296
EVI_EVI,ALL,-11,0.3192011479277778
EVI_EVI,ALL,-12,0.3550376369944444
EVI_EVI,ALL,-13,0.3206995794574074
EVI_EVI,ALL,-14,0.3614807360166666
EVI_EVI,ALL,-15,0.4558985839444445
EVI_EVI,ALL,-16,0.5173823018629631
EVI_EVI,ALL,-17,0.3839628823240741
EVI_EVI,ALL,-18,0.2512719845277777
EVI_EVI,ALL,-19,0.2476705058685185
EVI_EVI,ALL,-20,0.339100598162963
EVI_EVI,ALL,-21,0.3603659791351851
EVI_EVI,ALL,-22,0.196180090137037
EVI_EVI,ALL,-23,0.0609729069703703
EVI_EVI,ALL,-24,-0.0214547776814814
EVI_EVI,ALL,-25,-0.0375688717499999
EVI_EVI,ALL,-26,-0.0067508627777777
EVI_EVI,ALL,-27,-0.0316952817666666
EVI_EVI,ALL,-28,-0.0097295185129629
EVI_EVI,ALL,-29,-0.175563591462963
EVI_EVI,ALL,-30,-0.1894685476981482
LAI_LAI,FOR,0,-0.4832800971111111
LAI_LAI,FOR,-1,-0.1576965465
LAI_LAI,FOR,-2,0.0287089626629629
LAI_LAI,FOR,-3,0.4210046074074074
LAI_LAI,FOR,-4,0.638696323862963
LAI_LAI,FOR,-5,0.7454869389148148
LAI_LAI,FOR,-6,0.7145735387703704
LAI_LAI,FOR,-7,0.6664892566777777
LAI_LAI,FOR,-8,0.5009261234666667
LAI_LAI,FOR,-9,0.4264626822518518
LAI_LAI,FOR,-10,0.2745024760555555
LAI_LAI,FOR,-11,0.3324232797518518
LAI_LAI,FOR,-12,0.3577196634481481
LAI_LAI,FOR,-13,0.4220205911666667
LAI_LAI,FOR,-14,0.4557572233814815
LAI_LAI,FOR,-15,0.4613269106814814
LAI_LAI,FOR,-16,0.4438367712259259
LAI_LAI,FOR,-17,0.3738993739814814
LAI_LAI,FOR,-18,0.3011701988555555
LAI_LAI,FOR,-19,0.3901729318592593
LAI_LAI,FOR,-20,0.5482470829
LAI_LAI,FOR,-21,0.5369945061444444
LAI_LAI,FOR,-22,0.5338426419703703
LAI_LAI,FOR,-23,0.415731086137037
LAI_LAI,FOR,-24,0.4597114174888888
LAI_LAI,FOR,-25,0.3955115148259259
LAI_LAI,FOR,-26,0.3455763904296296
LAI_LAI,FOR,-27,0.3702248349259258
LAI_LAI,FOR,-28,0.2505316494481481
LAI_LAI,FOR,-29,-0.043132334125926
LAI_LAI,FOR,-30,-0.2464036597925926
LFMC_LFMC,DES,0,-0.6958110248
LFMC_LFMC,DES,-1,-0.66991924925
LFMC_LFMC,DES,-2,-0.8148812791333334
LFMC_LFMC,DES,-3,-1.0033601920333333
LFMC_LFMC,DES,-4,-0.954129706
LFMC_LFMC,DES,-5,-0.8205081002333333
LFMC_LFMC,DES,-6,-0.6943105391333333
LFMC_LFMC,DES,-7,-1.265390895533333
LFMC_LFMC,DES,-8,-1.7155869776666666
LFMC_LFMC,DES,-9,-1.6379928339666667
LFMC_LFMC,DES,-10,-0.7547162839333333
LFMC_LFMC,DES,-11,0.1153358366666666
LFMC_LFMC,DES,-12,0.5788963189
LFMC_LFMC,DES,-13,0.8235762574666667
LFMC_LFMC,DES,-14,1.332957540033333
LFMC_LFMC,DES,-15,1.736716950833333
LFMC_LFMC,DES,-16,2.1152368494333333
LFMC_LFMC,DES,-17,1.9636766019333327
LFMC_LFMC,DES,-18,1.5325669211333333
LFMC_LFMC,DES,-19,1.2143855813666666
LFMC_LFMC,DES,-20,1.2509459218333332
LFMC_LFMC,DES,-21,1.4921433899999998
LFMC_LFMC,DES,-22,1.538826409733333
LFMC_LFMC,DES,-23,0.9148147426666664
LFMC_LFMC,DES,-24,0.4198448408333331
LFMC_LFMC,DES,-25,-0.0958799127666668
LFMC_LFMC,DES,-26,-0.0069481443333334
LFMC_LFMC,DES,-27,0.0980074670333331
LFMC_LFMC,DES,-28,0.2201458785333331
LFMC_LFMC,DES,-29,0.1591186639666665
LFMC_LFMC,DES,-30,0.2255767407333332
EVI_EVI,FOR,0,-0.6014678068222222
EVI_EVI,FOR,-1,-0.4017934641333334
EVI_EVI,FOR,-2,-0.1664764094666666
EVI_EVI,FOR,-3,0.2449414663370371
EVI_EVI,FOR,-4,0.5327115568518518
EVI_EVI,FOR,-5,0.6293994700296297
EVI_EVI,FOR,-6,0.6730174300666667
EVI_EVI,FOR,-7,0.7821532146666667
EVI_EVI,FOR,-8,0.6901312051925926
EVI_EVI,FOR,-9,0.4028186480888889
EVI_EVI,FOR,-10,0.1916039453740741
EVI_EVI,FOR,-11,0.1178730706925926
EVI_EVI,FOR,-12,0.2300831439148148
EVI_EVI,FOR,-13,0.1802577752925925
EVI_EVI,FOR,-14,0.3151973090296296
EVI_EVI,FOR,-15,0.3940200457148148
EVI_EVI,FOR,-16,0.4702596738555555
EVI_EVI,FOR,-17,0.4301594600592592
EVI_EVI,FOR,-18,0.4123587505333333
EVI_EVI,FOR,-19,0.5133704916555556
EVI_EVI,FOR,-20,0.6396497899185185
EVI_EVI,FOR,-21,0.6739903886888888
EVI_EVI,FOR,-22,0.5345754505888888
EVI_EVI,FOR,-23,0.3950502770851851
EVI_EVI,FOR,-24,0.2602454494629629
EVI_EVI,FOR,-25,0.2134334338703703
EVI_EVI,FOR,-26,0.1687871428851851
EVI_EVI,FOR,-27,0.1357433427185185
EVI_EVI,FOR,-28,0.1048657389666666
EVI_EVI,FOR,-29,-0.1483001556111112
EVI_EVI,FOR,-30,-0.1681769067222222
LFMC_LFMC,MED,0,-0.5382409863125
LFMC_LFMC,MED,-1,-0.33853281975
LFMC_LFMC,MED,-2,-0.1345276154125
LFMC_LFMC,MED,-3,0.1496769945958333
LFMC_LFMC,MED,-4,0.2673859507875
LFMC_LFMC,MED,-5,0.1020835130458333
LFMC_LFMC,MED,-6,0.0436301959583333
LFMC_LFMC,MED,-7,0.1131101820833333
LFMC_LFMC,MED,-8,0.4316325866875001
LFMC_LFMC,MED,-9,0.3310849828708334
LFMC_LFMC,MED,-10,0.3967730684125
LFMC_LFMC,MED,-11,0.4847529481833332
LFMC_LFMC,MED,-12,0.6784000923708333
LFMC_LFMC,MED,-13,0.5842432005541667
LFMC_LFMC,MED,-14,0.4709321684
LFMC_LFMC,MED,-15,0.6122746077541668
LFMC_LFMC,MED,-16,0.7636850016333333
LFMC_LFMC,MED,-17,0.7937266100583333
LFMC_LFMC,MED,-18,0.77584262405
LFMC_LFMC,MED,-19,0.7771715118666667
LFMC_LFMC,MED,-20,0.7934640521458334
LFMC_LFMC,MED,-21,0.5093268478291667
LFMC_LFMC,MED,-22,0.3946811436
LFMC_LFMC,MED,-23,0.2045069725458333
LFMC_LFMC,MED,-24,0.3083564641458333
LFMC_LFMC,MED,-25,0.1943338053708333
LFMC_LFMC,MED,-26,0.1896708034499999
LFMC_LFMC,MED,-27,0.037456283725
LFMC_LFMC,MED,-28,0.0054488740041667
LFMC_LFMC,MED,-29,-0.1415845542041666
LFMC_LFMC,MED,-30,-0.2108380250041666
LAI_LAI,ALL,0,-0.4460448675888889
LAI_LAI,ALL,-1,-0.1531742925666666
LAI_LAI,ALL,-2,-0.0043410396907407
LAI_LAI,ALL,-3,0.2262177198481482
LAI_LAI,ALL,-4,0.3114915217166667
LAI_LAI,ALL,-5,0.3361567754222221
LAI_LAI,ALL,-6,0.4321397198425926
LAI_LAI,ALL,-7,0.4610828481240741
LAI_LAI,ALL,-8,0.4035343424907408
LAI_LAI,ALL,-9,0.319972186
LAI_LAI,ALL,-10,0.2440917266574074
LAI_LAI,ALL,-11,0.2744752390666666
LAI_LAI,ALL,-12,0.3000251011740741
LAI_LAI,ALL,-13,0.3493446557296296
LAI_LAI,ALL,-14,0.4418787800203704
LAI_LAI,ALL,-15,0.4741387741111111
LAI_LAI,ALL,-16,0.5089810995074076
LAI_LAI,ALL,-17,0.3338118431425926
LAI_LAI,ALL,-18,0.1173767833388888
LAI_LAI,ALL,-19,0.0671165570055555
LAI_LAI,ALL,-20,0.1260334129555555
LAI_LAI,ALL,-21,0.193804628737037
LAI_LAI,ALL,-22,0.1394504744722222
LAI_LAI,ALL,-23,0.0788396230925925
LAI_LAI,ALL,-24,0.0668571498259259
LAI_LAI,ALL,-25,0.0279198118166666
LAI_LAI,ALL,-26,0.0384790367648148
LAI_LAI,ALL,-27,0.0854187389018518
LAI_LAI,ALL,-28,0.0505066146018518
LAI_LAI,ALL,-29,-0.1770208187481481
LAI_LAI,ALL,-30,-0.3081417250537037
EVI_EVI,MED,0,-0.702324469925
EVI_EVI,MED,-1,-0.45779687811875
EVI_EVI,MED,-2,-0.2887712249083333
EVI_EVI,MED,-3,-0.0328735764208333
EVI_EVI,MED,-4,0.1185728283125
EVI_EVI,MED,-5,0.2441340250208333
EVI_EVI,MED,-6,0.3801819304291666
EVI_EVI,MED,-7,0.4644287928416666
EVI_EVI,MED,-8,0.5253742245416666
EVI_EVI,MED,-9,0.5097208674416667
EVI_EVI,MED,-10,0.4767374798208333
EVI_EVI,MED,-11,0.4909508138249999
EVI_EVI,MED,-12,0.4308785025541667
EVI_EVI,MED,-13,0.3852074782458333
EVI_EVI,MED,-14,0.3067212889999999
EVI_EVI,MED,-15,0.3642224232833333
EVI_EVI,MED,-16,0.4306487680041666
EVI_EVI,MED,-17,0.2090488604124999
EVI_EVI,MED,-18,0.0556803044999999
EVI_EVI,MED,-19,-0.0820714398374999
EVI_EVI,MED,-20,-0.0348044779916666
EVI_EVI,MED,-21,-0.0748846753625
EVI_EVI,MED,-22,-0.2697163230541667
EVI_EVI,MED,-23,-0.3671980138375
EVI_EVI,MED,-24,-0.3803982257833334
EVI_EVI,MED,-25,-0.3408609534
EVI_EVI,MED,-26,-0.2452164895708333
EVI_EVI,MED,-27,-0.2756435252166667
EVI_EVI,MED,-28,-0.1470531389416667
EVI_EVI,MED,-29,-0.2167644266375
EVI_EVI,MED,-30,-0.2104596630916667
LFMC_LFMC,FOR,0,-0.2779141621
LFMC_LFMC,FOR,-1,-0.3666202996055555
LFMC_LFMC,FOR,-2,-0.5336092350703705
